 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 USINA    1                                 CAMARGOS            
 VMAXT     3 2018  94.130 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  83.550 '%'
 VMAXT    12 2018  28.950 '%'
 VMAXT     1 2019  72.980 '%'
 VMAXT     2 2019  83.360 '%'
 VMAXT     3 2019  92.900 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  83.550 '%'
 VMAXT    12 2019  28.950 '%'
 VMAXT     1 2020  72.980 '%'
 VMAXT     2 2020  83.360 '%'
 VMAXT     3 2020  92.900 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  83.550 '%'
 VMAXT    12 2020  28.950 '%'
 VMAXT     1 2021  72.980 '%'
 VMAXT     2 2021  83.360 '%'
 VMAXT     3 2021  92.900 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  83.550 '%'
 VMAXT    12 2021  28.950 '%'
 VMAXT     1 2022  72.980 '%'
 VMAXT     2 2022  83.360 '%'
 VMAXT     3 2022  92.900 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  83.550 '%'
 VMAXT    12 2022  28.950 '%'
 USINA    45                                JUPIA               
 VAZMINT   1 2018 3700.00 
 VAZMINT   3 2018 4000.00 
 USINA    46                                P. PRIMAVERA        
 VAZMINT   1 2018 4300.00 
 VAZMINT   3 2018 4600.00 
 USINA    49                                CHAVANTES           
 VMAXT     1 2018  86.530 '%'
 VMAXT     2 2018  96.680 '%'
 VMAXT     3 2018  96.720 '%'
 VMAXT     4 2018  92.570 '%'
 VMAXT     5 2018  89.820 '%'
 VMAXT     6 2018  94.350 '%'
 VMAXT     7 2018  96.620 '%'
 VMAXT     8 2018  97.900 '%'
 VMAXT     9 2018  89.850 '%'
 VMAXT    10 2018  96.950 '%'
 VMAXT    11 2018  87.050 '%'
 VMAXT    12 2018  76.980 '%'
 VMAXT     1 2019  78.480 '%'
 VMAXT     2 2019  96.680 '%'
 VMAXT     3 2019  96.720 '%'
 VMAXT     4 2019  92.570 '%'
 VMAXT     5 2019  89.820 '%'
 VMAXT     6 2019  94.350 '%'
 VMAXT     7 2019  96.620 '%'
 VMAXT     8 2019  97.900 '%'
 VMAXT     9 2019  89.850 '%'
 VMAXT    10 2019  96.950 '%'
 VMAXT    11 2019  87.050 '%'
 VMAXT    12 2019  76.980 '%'
 VMAXT     1 2020  78.480 '%'
 VMAXT     2 2020  96.680 '%'
 VMAXT     3 2020  96.720 '%'
 VMAXT     4 2020  92.570 '%'
 VMAXT     5 2020  89.820 '%'
 VMAXT     6 2020  94.350 '%'
 VMAXT     7 2020  96.620 '%'
 VMAXT     8 2020  97.900 '%'
 VMAXT     9 2020  89.850 '%'
 VMAXT    10 2020  96.950 '%'
 VMAXT    11 2020  87.050 '%'
 VMAXT    12 2020  76.980 '%'
 VMAXT     1 2021  78.480 '%'
 VMAXT     2 2021  96.680 '%'
 VMAXT     3 2021  96.720 '%'
 VMAXT     4 2021  92.570 '%'
 VMAXT     5 2021  89.820 '%'
 VMAXT     6 2021  94.350 '%'
 VMAXT     7 2021  96.620 '%'
 VMAXT     8 2021  97.900 '%'
 VMAXT     9 2021  89.850 '%'
 VMAXT    10 2021  96.950 '%'
 VMAXT    11 2021  87.050 '%'
 VMAXT    12 2021  76.980 '%'
 VMAXT     1 2022  78.480 '%'
 VMAXT     2 2022  96.680 '%'
 VMAXT     3 2022  96.720 '%'
 VMAXT     4 2022  92.570 '%'
 VMAXT     5 2022  89.820 '%'
 VMAXT     6 2022  94.350 '%'
 VMAXT     7 2022  96.620 '%'
 VMAXT     8 2022  97.900 '%'
 VMAXT     9 2022  89.850 '%'
 VMAXT    10 2022  96.950 '%'
 VMAXT    11 2022  87.050 '%'
 VMAXT    12 2022  76.980 '%'
 USINA    61                                CAPIVARA            
 VMAXT     1 2018  83.400 '%'
 VMAXT     2 2018  97.760 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    12 2018  83.400 '%'
 VMAXT     2 2019 100.000 '%'
 VMAXT    12 2019  83.400 '%'
 VMAXT     2 2020 100.000 '%'
 VMAXT    12 2020  83.400 '%'
 VMAXT     2 2021 100.000 '%'
 VMAXT    12 2021  83.400 '%'
 VMAXT     2 2022 100.000 '%'
 VMAXT    12 2022  83.400 '%'
 USINA    77                                SLT.SANTIAGO        
 VMAXT     5 2018  91.490 '%'
 VMAXT     7 2018 100.000 '%'
 VMAXT     5 2019  90.040 '%'
 VMAXT     7 2019 100.000 '%'
 VMAXT     5 2020  90.040 '%'
 VMAXT     7 2020 100.000 '%'
 VMAXT     5 2021  90.040 '%'
 VMAXT     7 2021 100.000 '%'
 VMAXT     5 2022  90.040 '%'
 VMAXT     7 2022 100.000 '%'
 USINA    78                                SALTO OSORIO        
 VAZMIN      200
 USINA    82                                SALTO CAXIAS        
 VAZMIN      200
 USINA    92                                ITA                 
 VAZMIN      150
 USINA    117                               GUARAPIRANGA        
 VMAXT     1 2018  77.120 '%'
 VMAXT     2 2018  85.720 '%'
 VMAXT     3 2018  85.850 '%'
 VMAXT     4 2018  92.760 '%'
 VMAXT     7 2018  95.390 '%'
 VMAXT    11 2018  94.560 '%'
 VMAXT    12 2018  89.020 '%'
 VMAXT     1 2019  77.120 '%'
 VMAXT     2 2019  85.720 '%'
 VMAXT     3 2019  85.850 '%'
 VMAXT     4 2019  92.760 '%'
 VMAXT     7 2019  95.390 '%'
 VMAXT    11 2019  94.560 '%'
 VMAXT    12 2019  89.020 '%'
 VMAXT     1 2020  77.120 '%'
 VMAXT     2 2020  85.720 '%'
 VMAXT     3 2020  85.850 '%'
 VMAXT     4 2020  92.760 '%'
 VMAXT     7 2020  95.390 '%'
 VMAXT    11 2020  94.560 '%'
 VMAXT    12 2020  89.020 '%'
 VMAXT     1 2021  77.120 '%'
 VMAXT     2 2021  85.720 '%'
 VMAXT     3 2021  85.850 '%'
 VMAXT     4 2021  92.760 '%'
 VMAXT     7 2021  95.390 '%'
 VMAXT    11 2021  94.560 '%'
 VMAXT    12 2021  89.020 '%'
 VMAXT     1 2022  77.120 '%'
 VMAXT     2 2022  85.720 '%'
 VMAXT     3 2022  85.850 '%'
 VMAXT     4 2022  92.760 '%'
 VMAXT     7 2022  95.390 '%'
 VMAXT    11 2022  94.560 '%'
 VMAXT    12 2022  89.020 '%'
 USINA    118                               BILLINGS            
 VAZMIN        6
 VMAXT     1 2018  80.990 '%'
 VMAXT     2 2018  84.300 '%'
 VMAXT     3 2018  87.150 '%'
 VMAXT     4 2018  88.850 '%'
 VMAXT     5 2018  89.960 '%'
 VMAXT     6 2018  90.260 '%'
 VMAXT     7 2018  91.670 '%'
 VMAXT     8 2018  92.280 '%'
 VMAXT     9 2018  91.370 '%'
 VMAXT    10 2018  89.450 '%'
 VMAXT    11 2018  87.950 '%'
 VMAXT    12 2018  87.050 '%'
 VMAXT     1 2019  80.990 '%'
 VMAXT     2 2019  84.300 '%'
 VMAXT     3 2019  87.150 '%'
 VMAXT     4 2019  88.850 '%'
 VMAXT     5 2019  89.960 '%'
 VMAXT     6 2019  90.260 '%'
 VMAXT     7 2019  91.670 '%'
 VMAXT     8 2019  92.280 '%'
 VMAXT     9 2019  91.370 '%'
 VMAXT    10 2019  89.450 '%'
 VMAXT    11 2019  87.950 '%'
 VMAXT    12 2019  87.050 '%'
 VMAXT     1 2020  80.990 '%'
 VMAXT     2 2020  84.300 '%'
 VMAXT     3 2020  87.150 '%'
 VMAXT     4 2020  88.850 '%'
 VMAXT     5 2020  89.960 '%'
 VMAXT     6 2020  90.260 '%'
 VMAXT     7 2020  91.670 '%'
 VMAXT     8 2020  92.280 '%'
 VMAXT     9 2020  91.370 '%'
 VMAXT    10 2020  89.450 '%'
 VMAXT    11 2020  87.950 '%'
 VMAXT    12 2020  87.050 '%'
 VMAXT     1 2021  80.990 '%'
 VMAXT     2 2021  84.300 '%'
 VMAXT     3 2021  87.150 '%'
 VMAXT     4 2021  88.850 '%'
 VMAXT     5 2021  89.960 '%'
 VMAXT     6 2021  90.260 '%'
 VMAXT     7 2021  91.670 '%'
 VMAXT     8 2021  92.280 '%'
 VMAXT     9 2021  91.370 '%'
 VMAXT    10 2021  89.450 '%'
 VMAXT    11 2021  87.950 '%'
 VMAXT    12 2021  87.050 '%'
 VMAXT     1 2022  80.990 '%'
 VMAXT     2 2022  84.300 '%'
 VMAXT     3 2022  87.150 '%'
 VMAXT     4 2022  88.850 '%'
 VMAXT     5 2022  89.960 '%'
 VMAXT     6 2022  90.260 '%'
 VMAXT     7 2022  91.670 '%'
 VMAXT     8 2022  92.280 '%'
 VMAXT     9 2022  91.370 '%'
 VMAXT    10 2022  89.450 '%'
 VMAXT    11 2022  87.950 '%'
 VMAXT    12 2022  87.050 '%'
 USINA    278                               MANSO               
 VAZMIN       95
 USINA    4                                 FUNIL-GRANDE        
 VAZMIN       60
 USINA    28                                CAPIM BRANC2        
 VAZMIN       72
 USINA    44                                I. SOLT. EQV        
 VMAXT     1 2018  53.560 '%'
 VMINT     1 2018  45.720 '%'
 VMAXT     2 2018  68.890 '%'
 VMAXT     3 2018  87.190 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  63.640 '%'
 VMAXT    12 2018  45.830 '%'
 VMAXT     2 2019  63.100 '%'
 VMAXT     3 2019  84.630 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  63.640 '%'
 VMAXT    12 2019  45.830 '%'
 VMAXT     2 2020  63.100 '%'
 VMAXT     3 2020  84.630 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  63.640 '%'
 VMAXT    12 2020  45.830 '%'
 VMAXT     2 2021  63.100 '%'
 VMAXT     3 2021  84.630 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  63.640 '%'
 VMAXT    12 2021  45.830 '%'
 VMAXT     2 2022  63.100 '%'
 VMAXT     3 2022  84.630 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  63.640 '%'
 VMAXT    12 2022  45.830 '%'
 USINA    73                                JORDAO              
 VAZMIN       10
 USINA    91                                MACHADINHO          
 VAZMIN      120
 USINA    27                                CAPIM BRANC1        
 VAZMIN       72
 USINA    47                                A.A. LAYDNER        
 VAZMIN      147
 VMAXT     1 2018  88.000 '%'
 VMAXT     2 2018  92.110 '%'
 VMAXT     3 2018  98.030 '%'
 VMAXT     4 2018  93.970 '%'
 VMAXT     5 2018  88.000 '%'
 VMAXT     6 2018  94.380 '%'
 VMAXT     7 2018  96.620 '%'
 VMAXT     8 2018  98.030 '%'
 VMAXT     9 2018  89.860 '%'
 VMAXT    10 2018  96.940 '%'
 VMAXT    11 2018  93.550 '%'
 VMAXT    12 2018  89.360 '%'
 VMAXT     1 2019  88.000 '%'
 VMAXT     2 2019  92.110 '%'
 VMAXT     3 2019  98.030 '%'
 VMAXT     4 2019  93.970 '%'
 VMAXT     5 2019  88.000 '%'
 VMAXT     6 2019  94.380 '%'
 VMAXT     7 2019  96.620 '%'
 VMAXT     8 2019  98.030 '%'
 VMAXT     9 2019  89.860 '%'
 VMAXT    10 2019  96.940 '%'
 VMAXT    11 2019  93.550 '%'
 VMAXT    12 2019  89.360 '%'
 VMAXT     1 2020  88.000 '%'
 VMAXT     2 2020  92.110 '%'
 VMAXT     3 2020  98.030 '%'
 VMAXT     4 2020  93.970 '%'
 VMAXT     5 2020  88.000 '%'
 VMAXT     6 2020  94.380 '%'
 VMAXT     7 2020  96.620 '%'
 VMAXT     8 2020  98.030 '%'
 VMAXT     9 2020  89.860 '%'
 VMAXT    10 2020  96.940 '%'
 VMAXT    11 2020  93.550 '%'
 VMAXT    12 2020  89.360 '%'
 VMAXT     1 2021  88.000 '%'
 VMAXT     2 2021  92.110 '%'
 VMAXT     3 2021  98.030 '%'
 VMAXT     4 2021  93.970 '%'
 VMAXT     5 2021  88.000 '%'
 VMAXT     6 2021  94.380 '%'
 VMAXT     7 2021  96.620 '%'
 VMAXT     8 2021  98.030 '%'
 VMAXT     9 2021  89.860 '%'
 VMAXT    10 2021  96.940 '%'
 VMAXT    11 2021  93.550 '%'
 VMAXT    12 2021  89.360 '%'
 VMAXT     1 2022  88.000 '%'
 VMAXT     2 2022  92.110 '%'
 VMAXT     3 2022  98.030 '%'
 VMAXT     4 2022  93.970 '%'
 VMAXT     5 2022  88.000 '%'
 VMAXT     6 2022  94.380 '%'
 VMAXT     7 2022  96.620 '%'
 VMAXT     8 2022  98.030 '%'
 VMAXT     9 2022  89.860 '%'
 VMAXT    10 2022  96.940 '%'
 VMAXT    11 2022  93.550 '%'
 VMAXT    12 2022  89.360 '%'
 USINA    86                                BARRA GRANDE        
 VAZMIN       16
 USINA    95                                QUEBRA QUEIX        
 VAZMIN        1
 USINA    305                               ITIQUIRA II         
 VAZMIN       40
