 NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
  49 VIANA          175. 100.    4.75   5.42 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  34 W.ARJONA       206. 100.    9.14  11.84 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 108 XAVANTES        54. 100.    2.68   0.02 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  48 ARAUCARIA      485. 100.    4.19   8.26 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  37 ARGENTINA 1      0. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  71 ARGENTINA 1B     0. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  38 ARGENTINA 2A     0. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  39 ARGENTINA 2B     0. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  40 ARGENTINA 2C     0. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  59 ARGENTINA 2D     0. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 156 CANDIOTA 3     350. 100.   24.16  16.07 159.01 189.59 189.59 189.59 189.59   0.00   0.00   0.00 210.00 210.00 210.00 210.00 197.49  
  64 CANOAS         249. 100.    1.76   3.16 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 169 CISFRAMA         4.  90.    3.50   6.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  28 FIGUEIRA        20. 100.   42.46  17.97   3.73   7.47   7.47   7.47   7.47   7.47   3.61   0.00   0.00   5.67  10.35  10.35   9.71  
  26 J.LACERDA A1   100. 100.   24.70  21.82  11.29   0.00   0.00  22.58  22.58  22.58  22.58  22.58  22.58  22.58  22.58  22.58  12.50  
  27 J.LACERDA A2   132. 100.   10.22  12.21  66.00  53.86  53.86  53.86  38.00  71.00  71.00  71.00  71.00  71.00  71.00  71.00  73.96  
  25 J.LACERDA B    262. 100.   11.84  15.80 208.00 160.00 160.00 208.00 208.00 208.00 160.00 105.78 105.78 105.78 109.32 208.00 177.38  
  24 J.LACERDA C    363. 100.    7.77  15.05 296.00 180.00 180.00 296.00 296.00 296.00 296.00 296.00 296.00 296.00 296.00 296.00 259.03  
  30 NUTEPA          24. 100.    2.42   0.85 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  22 P.MEDICI A     126. 100.   69.86  26.47 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  23 P.MEDICI B     320. 100.   69.86  26.47 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 107 PAMPA SUL        0. 100.    3.44   1.37   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  32 S.JERONIMO      20. 100.   34.88  34.56 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 149 SAO SEPE         0.  90.    2.00   3.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  35 URUGUAIANA     640. 100.    4.61  22.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 109 ALTOS           13. 100.   45.14  20.70 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 111 ARACATI         11. 100.   48.74  23.31 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 112 BAHIA I         31.  98.    7.19   4.53 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 113 BATURITE        11. 100.   43.83  22.86 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  93 CAMACARI D/G   347. 100.   25.29  16.63 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 166 CAMACARI PI    150. 100.   17.29   0.95 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  52 CAMPINA GDE    169. 100.   16.98   5.29 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 117 CAMPO MAIOR     13. 100.   48.56  22.56 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 119 CAUCAIA         15. 100.   45.31  24.11 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 121 CRATO           13. 100.   49.64  22.15 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 125 ENGUIA PECEM    15. 100.   46.44  19.72 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 106 ERB CANDEIAS     0. 100.    3.00   5.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  74 FAFEN          138. 100.   28.24   8.11 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  42 FORTALEZA      327. 100.    2.40   4.23   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 223.00  
  53 GLOBAL I       149. 100.   12.03   7.88 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  55 GLOBAL II      149. 100.   10.11   7.75 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 127 IGUATU          15. 100.   49.79  21.40 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 133 JUAZEIRO N      15. 100.   41.22  22.05 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  57 MARACANAU I    168. 100.   23.07   2.80 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 135 MARAMBAIA       13. 100.   55.32  22.55 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 164 MURICY         147. 100.   11.54   1.85 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 138 NAZARIA         13. 100.   51.90  22.40 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 167 P. PECEM I     720. 100.   13.88   5.94 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 163 P. PECEM II    365. 100.    2.84   3.41 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 224 P. SERGIPE I     0. 100.    1.10   2.05 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 160 PAU FERRO I     94. 100.    1.91   0.06 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  98 PERNAMBU_III   201. 100.   30.71   1.55 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 144 PETROLINA      136. 100.    1.87   2.01 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 151 POTIGUAR        53. 100.    5.97   1.03 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 161 POTIGUAR III    66. 100.    2.63   0.44 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 147 PROSPERIDADE     0. 100.    3.00   4.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 170 SUAPE II       381. 100.   11.80   2.28 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 221 SYKUE I         30. 100.    1.50   3.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  43 TERMOBAHIA     186.  86.    2.20   4.71 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 152 TERMOCABO       50. 100.    5.96   3.13 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  58 TERMOCEARA     223. 100.   23.32  16.43 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 159 TERMOMANAUS    143. 100.    2.35   0.07 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  67 TERMONE        171.  95.   11.91   1.70 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  69 TERMOPB        171.  95.   14.21   1.58 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  96 TERMOPE        533. 100.   10.18  10.39 348.80 348.80 348.80 348.80 348.80 348.80 348.80 348.80 348.80 348.80 348.80 348.80 348.80  
  83 VALE DO ACU    368.  84.    5.06   3.96 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 201 APARECIDA      166. 100.    5.66   8.46 150.00 150.00 143.50 116.04 150.00 116.04 150.00 150.00 150.00 150.00 150.00 143.21  56.74  
 203 C. ROCHA        85. 100.    1.00  20.72 067.00 067.00 067.00 067.00 067.00 067.00 067.00 067.00 067.00 067.00 067.00 067.00 067.00  
 318 FLORES LT1      40. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 319 FLORES LT2      40. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  73 GERAMAR I      166.  96.    0.82   2.70 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  70 GERAMAR II     166.  96.    2.64   1.39 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 317 IRANDUBA        25. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 204 JARAQUI         75.  87.    4.00   0.00  62.99  62.99  62.99  62.99  62.99  62.99  62.99  62.99  62.99  62.99  62.99  62.99  62.99  
 205 MANAUARA        67. 100.    2.50   0.39 064.50 064.50 064.50 064.50 064.50 064.50 064.50 064.50 064.50 064.50 064.50 064.50 064.50  
 212 MARANHAO III   519. 100.    2.23   1.46   0.00   0.00   0.00   0.00   0.00 482.05 482.05 482.05 482.05 482.05 482.05   0.00 241.19  
  36 MARANHAO IV    338. 100.    2.41   2.62 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  21 MARANHAO V     338. 100.    1.77   2.24 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 140 MAUA 3         190.  97.    3.70   6.30   0.00   0.00  42.67 142.08 130.78 120.24 127.88 152.53 142.95 159.39 152.83 170.54 264.00  
 206 MAUA B3        110. 100.    4.90   4.01 100.00 100.00 100.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 141 MAUA B4        150. 100.   37.26   8.99 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  46 N.VENECIA 2    178. 100.    5.68   4.14 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 228 O. CANOAS 1      0.  90.    2.00   6.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 116 PARNAIBA IV     56. 100.    8.22   8.54 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 207 PONTA NEGRA     66. 100.    2.50   0.53 064.00 064.00 064.00 064.00 064.00 064.00 064.00 064.00 064.00 064.00 064.00 064.00 064.00  
 176 PORTO ITAQUI   360. 100.   13.28   5.43 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  94 SANTANA LM      50. 100.   22.67   6.30 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 208 SANTANA W       58. 100.    1.62   7.49 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 136 SUZANO MA      255. 100.    7.78   0.68 235.00 235.00 235.00 235.00 235.00 235.00 235.00 235.00 235.00 235.00 235.00 235.00 233.41  
 209 TAMBAQUI        93.  71.    4.00   0.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00 063.00  
