 NUM  NOME CLASSE  TIPO COMB.  CUSTO   CUSTO   CUSTO   CUSTO   CUSTO   
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
  113 BATURITE     Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
   93 CAMACARI D/G Diesel      943.88  943.88  943.88  943.88  943.88                                                                                                                                                     
  166 CAMACARI PI  Oleo        676.65  676.65  676.65  676.65  676.65                                                                                                                                                     
   52 CAMPINA GDE  Oleo        436.43  436.43  436.43  436.43  436.43                                                                                                                                                     
  117 CAMPO MAIOR  Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  119 CAUCAIA      Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  121 CRATO        Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  125 ENGUIA PECEM Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  106 ERB CANDEIAS Biomassa     60.00   60.00   60.00   60.00   60.00                                                                                                                                                     
   74 FAFEN        Gas         345.02  345.02  345.02  345.02  345.02                                                                                                                                                     
   42 FORTALEZA    Gas         139.88  139.88  139.88  139.88  139.88                                                                                                                                                     
   53 GLOBAL I     Oleo        496.13  496.13  496.13  496.13  496.13                                                                                                                                                     
   55 GLOBAL II    Oleo        496.13  496.13  496.13  496.13  496.13                                                                                                                                                     
  127 IGUATU       Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  133 JUAZEIRO N   Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
   57 MARACANAU I  Oleo        418.08  418.08  418.08  418.08  418.08                                                                                                                                                     
  135 MARAMBAIA    Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  164 MURICY       Oleo        676.65  676.65  676.65  676.65  676.65                                                                                                                                                     
  138 NAZARIA      Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  167 P. PECEM I   Carvao      160.16  160.16  160.16  160.16  160.16                                                                                                                                                     
  163 P. PECEM II  Carvao      169.63  169.63  169.63  169.63  169.63                                                                                                                                                     
  224 P. SERGIPE I Gas         204.30  204.30  204.30  204.30  204.30                                                                                                                                                     
  160 PAU FERRO I  Diesel      964.72  964.72  964.72  964.72  964.72                                                                                                                                                     
   98 PERNAMBU_III Oleo        365.84  365.84  365.84  365.84  365.84                                                                                                                                                     
  144 PETROLINA    Oleo        742.38  742.38  742.38  742.38  742.38                                                                                                                                                     
  151 POTIGUAR     Diesel      846.05  846.05  846.05  846.05  846.05                                                                                                                                                     
  161 POTIGUAR III Diesel      846.04  846.04  846.04  846.04  846.04                                                                                                                                                     
  147 PROSPERIDADE Gas         148.65  148.65  148.65  148.65  148.65                                                                                                                                                     
  170 SUAPE II     Oleo        430.71  430.71  430.71  430.71  430.71                                                                                                                                                     
  221 SYKUE I      Biomassa    510.12  510.12  510.12  510.12  510.12                                                                                                                                                     
   43 TERMOBAHIA   Gas         279.04  279.04  279.04  279.04  279.04                                                                                                                                                     
  152 TERMOCABO    Oleo        431.35  431.35  431.35  431.35  431.35                                                                                                                                                     
   58 TERMOCEARA   Gas         319.19  319.19  319.19  319.19  319.19                                                                                                                                                     
  159 TERMOMANAUS  Diesel      964.72  964.72  964.72  964.72  964.72                                                                                                                                                     
   67 TERMONE      Oleo        437.37  437.37  437.37  437.37  437.37                                                                                                                                                     
   69 TERMOPB      Oleo        437.37  437.37  437.37  437.37  437.37                                                                                                                                                     
   96 TERMOPE      Gas         105.05  105.05  105.05  105.05  105.05                                                                                                                                                     
   83 VALE DO ACU  Gas         314.63  314.63  314.63  314.63  314.63                                                                                                                                                     
  201 APARECIDA    Gas         302.19  302.19  302.19  302.19  302.19                                                                                                                                                     
  203 C. ROCHA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  318 FLORES LT1   Diesel      794.72  794.72  794.72  794.72  794.72                                                                                                                                                     
  319 FLORES LT2   Diesel      808.99  808.99  808.99  808.99  808.99                                                                                                                                                     
   73 GERAMAR I    Oleo        436.42  436.42  436.42  436.42  436.42                                                                                                                                                     
   70 GERAMAR II   Oleo        436.42  436.42  436.42  436.42  436.42                                                                                                                                                     
  317 IRANDUBA     Oleo        784.21  784.21  784.21  784.21  784.21                                                                                                                                                     
  204 JARAQUI      Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  205 MANAUARA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  212 MARANHAO III Gas          76.94   76.94   76.94   76.94   76.94                                                                                                                                                     
   36 MARANHAO IV  Gas         121.80  121.80  121.80  121.80  121.80                                                                                                                                                     
   21 MARANHAO V   Gas         121.80  121.80  121.80  121.80  121.80                                                                                                                                                     
  140 MAUA 3       Gas          66.00   66.00   66.00   66.00   66.00                                                                                                                                                     
  206 MAUA B3      Gas         411.92  411.92  411.92  411.92  411.92                                                                                                                                                     
  141 MAUA B4      Oleo        575.00  575.00  575.00  575.00  575.00                                                                                                                                                     
   46 N.VENECIA 2  Gas         208.48  208.48  208.48  208.48  208.48                                                                                                                                                     
  228 O. CANOAS 1  Gas         269.53  269.53  269.53  269.53  269.53                                                                                                                                                     
  116 PARNAIBA IV  Gas          91.37   91.37   91.37   91.37   91.37                                                                                                                                                     
  207 PONTA NEGRA  Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  176 PORTO ITAQUI Carvao      164.46  164.46  164.46  164.46  164.46                                                                                                                                                     
   94 SANTANA LM   Diesel      898.56  898.56  898.56  898.56  898.56                                                                                                                                                     
  208 SANTANA W    Diesel      640.96  640.96  640.96  640.96  640.96                                                                                                                                                     
  136 SUZANO MA    Residuos I    0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  209 TAMBAQUI     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
 9999
 NUM     CUSTO
 XXXX   XXXX.XX  XX XXXX  XX XXXX
  211    114.59  01 2018  02 2018  BAIXADA FLU 
  220    291.37  01 2018  02 2018  CCBS_L13    
  214    298.02  01 2018  02 2018  EBOLT_L13   
   15    193.42  01 2018  04 2018  LINHARES    
   86    129.50  01 2018  04 2018  ST.CRUZ NOVA
  218    293.06  01 2018  02 2018  T LAGOAS_L13
  216    296.34  01 2018  02 2018  TERMORIO_L13
   49    501.20  01 2018  02 2018  VIANA       
   52    501.20  01 2018  02 2018  CAMPINA GDE 
   53    569.24  01 2018  02 2018  GLOBAL I    
   55    569.24  01 2018  02 2018  GLOBAL II   
   57    482.12  01 2018  02 2018  MARACANAU I 
  167    178.48  01 2018  02 2018  P. PECEM I  
  163    186.98  01 2018  02 2018  P. PECEM II 
   98    423.37  01 2018  02 2018  PERNAMBU_III
  170    499.45  01 2018  02 2018  SUAPE II    
  152    495.28  01 2018  02 2018  TERMOCABO   
   67    500.82  01 2018  02 2018  TERMONE     
   69    500.82  01 2018  02 2018  TERMOPB     
   73    501.19  01 2018  02 2018  GERAMAR I   
   70    501.19  01 2018  02 2018  GERAMAR II  
   36    120.61  01 2018  02 2018  MARANHAO IV 
   21    120.61  01 2018  02 2018  MARANHAO V  
  140     98.25  01 2018  12 2018  MAUA 3      
  176    181.72  01 2018  02 2018  PORTO ITAQUI
